shipment_id,order_date,warehouse_id,warehouse_city,store_id,store_city,distance_km,weight_kg,transport_mode,planned_cost_inr,actual_cost_inr,cost_per_km,promised_delivery_hrs,actual_delivery_hrs,on_time_flag
SHP104310,2024-05-10,WH-BPL,Bhopal,ST-024,Vidisha,214.9,365.8,Mini Truck,5840.84,6044.77,28.13,9.3,13.5,0
SHP102785,2024-08-18,WH-JBP,Jabalpur,ST-035,Rewa,360.5,339.6,Medium Truck,20610.96,22866.64,63.43,15.5,22.9,0
SHP105137,2024-11-20,WH-IND,Indore,ST-017,Khandwa,176.4,151.9,Medium Truck,9532.48,9796.52,55.54,8.3,7.8,1
SHP108188,2024-05-31,WH-JBP,Jabalpur,ST-020,Ratlam,498.4,279.4,Medium Truck,31513.29,23662.739999999998,47.48,20.0,27.7,0
SHP100116,2024-06-15,WH-IND,Indore,ST-038,Dewas,436.9,167.8,Medium Truck,26024.22,28855.08,66.05,18.1,26.7,0
SHP102178,2024-12-12,WH-IND,Indore,ST-017,Khandwa,175.2,351.0,LCV,7225.21,7791.52,44.47,11.0,15.0,0
SHP106123,2024-12-06,WH-IND,Indore,ST-005,Indore,396.2,448.3,LCV,17389.0,17958.61,45.33,15.2,19.2,0
SHP105150,2024-05-27,WH-BPL,Bhopal,ST-025,Mandsaur,436.9,807.5,LCV,18920.12,19061.65,43.63,17.2,21.2,0
SHP105248,2024-04-10,WH-JBP,Jabalpur,ST-027,Chhindwara,94.6,638.9,Mini Truck,2462.86,2479.67,26.21,8.4,7.1,1
SHP107204,2024-10-16,WH-IND,Indore,ST-037,Gwalior,449.9,459.7,Mini Truck,10894.8,11431.03,25.41,18.7,16.0,1
SHP102629,2024-04-03,WH-JBP,Jabalpur,ST-038,Dewas,296.6,360.6,Medium Truck,16666.98,17999.45,60.69,11.6,10.9,1
SHP108183,2024-08-04,WH-JBP,Jabalpur,ST-011,Bhopal,417.3,304.1,Medium Truck,24662.02,25827.05,61.89,17.3,15.3,1
SHP102759,2024-04-19,WH-BPL,Bhopal,ST-019,Jabalpur,296.5,119.1,Medium Truck,16471.86,16826.49,56.75,13.7,20.4,0
SHP105437,2024-07-26,WH-BPL,Bhopal,ST-026,Satna,233.0,484.2,LCV,8234.41,8902.74,38.21,12.1,10.6,1
SHP107042,2024-08-11,WH-BPL,Bhopal,ST-009,Vidisha,340.3,253.2,Medium Truck,22208.91,22769.74,66.91,15.6,18.6,0
SHP103289,2024-12-30,WH-GWL,Gwalior,ST-005,Indore,340.9,81.3,Mini Truck,8660.83,9219.5,27.04,14.7,20.6,0
SHP104677,2024-12-26,WH-IND,Indore,ST-038,Dewas,456.5,262.9,Mini Truck,9561.4,10472.99,22.94,18.7,19.2,1
SHP106741,2024-09-29,WH-GWL,Gwalior,ST-033,Indore,490.6,617.0,LCV,15674.34,17314.32,35.29,19.9,23.9,0
SHP102972,2024-09-28,WH-GWL,Gwalior,ST-036,Satna,102.2,324.8,LCV,3762.99,3784.7,37.03,8.8,10.9,0
SHP106714,2024-09-26,WH-GWL,Gwalior,ST-014,Bhopal,247.0,198.7,Medium Truck,15240.71,15684.55,63.5,9.8,8.9,1
SHP108064,2024-07-24,WH-BPL,Bhopal,ST-019,Jabalpur,332.4,175.3,Mini Truck,7316.7,7644.57,23.0,16.3,25.7,0
SHP106656,2024-07-03,WH-BPL,Bhopal,ST-014,Bhopal,244.0,174.0,LCV,8898.89,9566.17,39.21,11.0,16.9,0
SHP107217,2024-12-01,WH-GWL,Gwalior,ST-039,Indore,305.4,71.3,Mini Truck,8154.8,9051.8,29.64,14.5,18.0,0
SHP100430,2024-12-24,WH-BPL,Bhopal,ST-002,Ratlam,441.4,95.2,LCV,17431.22,18901.04,42.82,16.3,18.8,0
SHP106234,2024-07-01,WH-BPL,Bhopal,ST-011,Bhopal,233.7,612.0,Medium Truck,15938.7,16328.66,69.87,12.6,12.1,1
SHP101248,2024-11-24,WH-JBP,Jabalpur,ST-022,Bhopal,769.8,151.8,Mini Truck,20555.58,21599.34,28.06,29.6,37.2,0
SHP105538,2024-06-26,WH-JBP,Jabalpur,ST-013,Khandwa,202.1,518.2,Mini Truck,4457.92,4909.61,24.29,11.8,16.4,0
SHP104091,2025-01-20,WH-IND,Indore,ST-031,Jabalpur,252.7,251.9,Mini Truck,5675.68,6245.91,24.72,12.2,10.8,1
SHP105460,2024-08-06,WH-GWL,Gwalior,ST-018,Satna,198.4,111.8,Mini Truck,5001.84,5402.1,27.23,11.4,13.0,0
SHP101616,2024-08-13,WH-JBP,Jabalpur,ST-023,Vidisha,721.0,432.1,Mini Truck,19696.09,19757.84,27.4,26.5,30.5,0
SHP101661,2024-04-21,WH-GWL,Gwalior,ST-019,Jabalpur,451.6,506.9,Medium Truck,29069.77,32238.16,71.39,17.6,21.0,0
SHP106655,2024-10-20,WH-JBP,Jabalpur,ST-001,Gwalior,681.5,548.0,LCV,24827.62,26252.01,38.52,24.6,23.7,1
SHP103990,2025-01-16,WH-BPL,Bhopal,ST-001,Gwalior,404.8,688.3,LCV,15825.77,17030.29,42.07,16.9,18.4,0
SHP100359,2024-09-05,WH-IND,Indore,ST-022,Bhopal,261.2,899.8,LCV,10703.4,10836.64,41.49,11.7,14.9,0
SHP100834,2024-12-02,WH-BPL,Bhopal,ST-040,Gwalior,487.4,177.6,LCV,17106.93,17710.1,36.34,18.2,19.3,0
SHP101701,2025-01-12,WH-IND,Indore,ST-010,Khandwa,506.4,84.2,Medium Truck,26234.25,28807.63,56.89,21.4,26.1,0
SHP105637,2024-07-13,WH-BPL,Bhopal,ST-025,Mandsaur,436.8,479.4,Medium Truck,24049.21,25242.85,57.79,19.6,28.5,0
SHP104019,2024-12-14,WH-GWL,Gwalior,ST-039,Indore,296.2,169.8,LCV,11009.62,12000.66,40.52,13.8,17.5,0
SHP108257,2024-07-10,WH-JBP,Jabalpur,ST-018,Satna,311.2,113.0,Medium Truck,18735.58,19030.47,61.15,12.9,19.3,0
SHP103830,2024-04-27,WH-BPL,Bhopal,ST-029,Bhopal,478.0,328.3,Mini Truck,10260.11,11397.63,23.84,17.1,26.1,0
SHP104969,2025-01-14,WH-JBP,Jabalpur,ST-003,Jabalpur,766.2,704.8,Medium Truck,48462.73,52791.28,68.9,27.2,27.0,1
SHP103480,2024-05-09,WH-GWL,Gwalior,ST-008,Burhanpur,681.3,117.7,Medium Truck,46877.47,48192.24,70.74,26.8,29.9,0
SHP100473,2024-08-16,WH-JBP,Jabalpur,ST-010,Khandwa,392.0,242.9,LCV,17307.93,17393.34,44.37,16.9,19.7,0
SHP104965,2024-10-12,WH-JBP,Jabalpur,ST-016,Chhindwara,279.2,675.1,Medium Truck,17740.45,18852.31,67.52,11.2,14.0,0
SHP101530,2024-11-22,WH-IND,Indore,ST-010,Khandwa,491.6,979.0,LCV,20495.95,20503.52,41.71,19.4,18.5,1
SHP106800,2024-05-21,WH-IND,Indore,ST-008,Burhanpur,109.1,200.6,LCV,3856.28,3985.22,36.53,6.2,6.4,1
SHP101895,2024-08-20,WH-IND,Indore,ST-028,Ujjain,201.7,221.4,Mini Truck,4965.69,5398.08,26.76,10.3,11.3,0
SHP100084,2024-05-14,WH-BPL,Bhopal,ST-023,Vidisha,372.8,578.4,Medium Truck,24245.03,25072.12,67.25,15.2,19.4,0
SHP102839,2024-12-08,WH-BPL,Bhopal,ST-027,Chhindwara,375.4,239.7,Mini Truck,9977.77,10882.78,28.99,15.9,14.6,1
SHP104839,2025-01-11,WH-BPL,Bhopal,ST-031,Jabalpur,86.6,566.6,Medium Truck,5381.87,5926.6,68.44,5.5,6.8,0
SHP101867,2024-09-04,WH-IND,Indore,ST-024,Vidisha,215.3,381.6,Medium Truck,13960.08,14158.55,65.76,11.3,15.4,0
SHP100401,2024-06-30,WH-JBP,Jabalpur,ST-022,Bhopal,777.9,422.8,LCV,26945.03,27717.22,35.63,29.3,45.1,0
SHP104693,2024-12-12,WH-JBP,Jabalpur,ST-009,Vidisha,550.1,336.8,Medium Truck,29935.45,32277.97,58.68,21.8,30.5,0
SHP105865,2024-12-30,WH-GWL,Gwalior,ST-037,Gwalior,294.0,284.9,Mini Truck,8037.49,8354.49,28.42,12.7,17.4,0
SHP103845,2024-11-30,WH-GWL,Gwalior,ST-009,Vidisha,723.0,253.4,LCV,25982.37,26821.21,37.1,25.5,23.1,1
SHP107467,2024-07-05,WH-BPL,Bhopal,ST-011,Bhopal,232.6,362.4,LCV,9396.83,9998.96,42.99,10.8,9.2,1
SHP103115,2024-09-26,WH-GWL,Gwalior,ST-034,Satna,279.0,262.0,Mini Truck,6573.35,6580.55,23.59,12.8,17.3,0
SHP104881,2024-07-04,WH-IND,Indore,ST-028,Ujjain,194.0,227.5,LCV,7206.95,7989.62,41.18,8.2,12.0,0
SHP107287,2024-11-19,WH-IND,Indore,ST-026,Satna,323.1,296.2,Medium Truck,20031.97,20829.59,64.47,15.7,18.7,0
SHP103210,2024-12-14,WH-JBP,Jabalpur,ST-030,Sagar,504.7,270.7,Medium Truck,27044.77,29324.12,58.1,21.6,34.5,0
SHP107661,2024-06-18,WH-GWL,Gwalior,ST-011,Bhopal,207.9,268.4,Medium Truck,12816.66,13565.17,65.25,10.6,16.9,0
SHP102681,2024-10-09,WH-IND,Indore,ST-040,Gwalior,629.6,355.0,Medium Truck,39220.25,42972.46,68.25,25.0,29.4,0
SHP104943,2024-11-13,WH-JBP,Jabalpur,ST-012,Chhindwara,592.1,282.9,LCV,19967.2,21264.36,35.91,24.2,37.0,0
SHP103806,2024-08-13,WH-BPL,Bhopal,ST-039,Indore,127.6,101.6,LCV,4986.17,5525.01,43.3,8.0,6.9,1
SHP101113,2024-10-13,WH-IND,Indore,ST-018,Satna,456.3,430.1,Medium Truck,31191.44,32245.84,70.67,17.7,28.2,0
SHP105456,2024-05-17,WH-IND,Indore,ST-016,Chhindwara,296.0,273.8,Mini Truck,7983.31,8418.02,28.44,14.4,14.7,1
SHP101474,2024-06-07,WH-GWL,Gwalior,ST-009,Vidisha,713.9,95.3,Medium Truck,49520.76,51432.6,72.04,25.8,35.9,0
SHP103412,2024-11-24,WH-IND,Indore,ST-025,Mandsaur,227.9,893.3,Medium Truck,15188.48,15437.33,67.74,9.6,13.7,0
SHP107364,2024-10-26,WH-BPL,Bhopal,ST-025,Mandsaur,387.2,482.7,Mini Truck,9845.69,9851.24,25.44,14.8,12.8,1
SHP105935,2025-01-11,WH-GWL,Gwalior,ST-027,Chhindwara,537.7,441.3,LCV,21628.77,22752.37,42.31,19.4,21.8,0
SHP104308,2024-07-18,WH-GWL,Gwalior,ST-013,Khandwa,299.4,498.8,LCV,11172.72,12278.34,41.01,13.1,11.6,1
SHP107782,2024-06-12,WH-GWL,Gwalior,ST-031,Jabalpur,492.4,712.5,Medium Truck,28329.51,30503.65,61.95,19.4,24.9,0
SHP105889,2024-05-28,WH-BPL,Bhopal,ST-031,Jabalpur,92.0,534.1,LCV,3655.14,3843.47,41.78,5.0,6.2,0
SHP102325,2024-05-08,WH-IND,Indore,ST-002,Ratlam,235.7,363.9,Mini Truck,6470.21,6560.12,27.83,12.9,14.1,0
SHP106643,2024-08-22,WH-GWL,Gwalior,ST-018,Satna,204.5,103.9,Mini Truck,4602.78,5082.8,24.85,11.9,11.7,1
SHP100572,2024-10-21,WH-IND,Indore,ST-007,Indore,348.1,271.5,LCV,13992.64,15381.82,44.19,14.0,13.5,1
SHP103152,2024-04-28,WH-GWL,Gwalior,ST-020,Ratlam,717.7,215.5,Medium Truck,36096.74,39791.87,55.44,25.5,32.3,0
SHP102852,2024-07-13,WH-BPL,Bhopal,ST-025,Mandsaur,420.9,659.8,Medium Truck,23132.49,25134.03,59.71,16.1,18.9,0
SHP102817,2024-12-20,WH-GWL,Gwalior,ST-021,Ratlam,262.7,1293.2,Medium Truck,14777.81,14933.39,56.85,11.5,11.2,1
SHP107232,2024-04-24,WH-IND,Indore,ST-033,Indore,284.9,453.5,Medium Truck,15720.0,17217.09,60.43,14.5,21.5,0
SHP102958,2024-10-02,WH-IND,Indore,ST-002,Ratlam,257.6,257.6,LCV,8524.94,9346.21,36.28,10.6,11.7,0
SHP106104,2024-11-07,WH-GWL,Gwalior,ST-025,Mandsaur,778.7,487.0,LCV,30014.93,32666.21,41.95,29.9,26.0,1
SHP105647,2024-08-30,WH-JBP,Jabalpur,ST-013,Khandwa,199.5,328.0,Mini Truck,4986.78,5192.91,26.03,11.7,14.8,0
SHP100925,2024-06-11,WH-GWL,Gwalior,ST-029,Bhopal,383.4,451.3,Medium Truck,23555.61,26132.39,68.16,15.7,12.9,1
SHP103346,2024-04-15,WH-GWL,Gwalior,ST-010,Khandwa,97.7,801.2,Medium Truck,5257.37,5383.37,55.1,8.2,10.8,0
SHP101121,2024-06-16,WH-BPL,Bhopal,ST-028,Ujjain,359.2,525.6,LCV,11639.22,12808.46,35.66,17.1,17.3,1
SHP100152,2024-05-15,WH-IND,Indore,ST-006,Burhanpur,260.3,659.2,LCV,9418.48,10434.53,40.09,13.2,11.6,1
SHP101992,2024-08-03,WH-GWL,Gwalior,ST-033,Indore,463.7,1280.6,LCV,17939.16,18429.05,39.74,18.3,18.7,1
SHP104341,2024-08-30,WH-BPL,Bhopal,ST-015,Jabalpur,419.5,1619.0,LCV,16151.67,17827.18,42.5,18.6,16.3,1
SHP105198,2024-11-22,WH-IND,Indore,ST-007,Indore,358.1,160.8,LCV,14930.27,15939.19,44.51,15.1,18.5,0
SHP103116,2024-08-26,WH-BPL,Bhopal,ST-013,Khandwa,168.8,263.2,LCV,6785.8,7231.85,42.84,7.5,10.5,0
SHP104128,2024-08-17,WH-IND,Indore,ST-025,Mandsaur,217.8,966.5,LCV,8982.33,9380.12,43.07,8.9,7.5,1
SHP104883,2024-06-07,WH-IND,Indore,ST-004,Jabalpur,228.2,70.3,Mini Truck,5675.71,6171.37,27.04,12.2,11.2,1
SHP102909,2024-05-01,WH-GWL,Gwalior,ST-013,Khandwa,328.7,360.6,Medium Truck,21248.6,21788.27,66.29,14.2,14.8,1
SHP102377,2024-06-07,WH-BPL,Bhopal,ST-033,Indore,359.6,83.0,Mini Truck,9939.53,10696.92,29.75,14.6,22.6,0
SHP102081,2024-08-09,WH-BPL,Bhopal,ST-011,Bhopal,227.0,1130.0,Medium Truck,16004.29,16152.5,71.16,9.2,12.6,0
SHP106984,2024-11-08,WH-BPL,Bhopal,ST-033,Indore,371.1,77.5,Medium Truck,21858.78,22562.28,60.8,14.9,22.6,0
SHP100979,2024-04-28,WH-IND,Indore,ST-031,Jabalpur,256.0,311.0,LCV,9135.99,9337.81,36.48,10.7,11.7,0
SHP101952,2025-01-25,WH-BPL,Bhopal,ST-004,Jabalpur,210.6,212.3,Medium Truck,12281.91,13229.04,62.82,12.1,17.0,0
SHP100082,2024-11-11,WH-IND,Indore,ST-022,Bhopal,261.2,177.8,Mini Truck,6409.13,6904.24,26.43,10.9,10.9,1
SHP100354,2024-12-23,WH-JBP,Jabalpur,ST-017,Khandwa,531.0,128.3,Medium Truck,30031.73,32527.49,61.26,19.1,23.9,0
SHP102688,2024-05-12,WH-GWL,Gwalior,ST-011,Bhopal,220.4,484.2,Medium Truck,14580.37,15939.07,72.32,12.0,9.9,1
SHP103489,2024-08-25,WH-JBP,Jabalpur,ST-024,Vidisha,432.9,532.1,Medium Truck,27479.57,29822.54,68.89,17.7,25.3,0
SHP107414,2024-05-08,WH-IND,Indore,ST-030,Sagar,380.1,648.6,LCV,15995.4,17517.46,46.09,17.8,24.6,0
SHP106033,2024-04-27,WH-BPL,Bhopal,ST-029,Bhopal,434.2,300.1,Mini Truck,11898.07,12695.96,29.24,19.0,23.3,0
SHP107779,2024-05-21,WH-IND,Indore,ST-029,Bhopal,442.1,1335.0,LCV,16561.81,17638.82,39.9,18.7,25.9,0
SHP107468,2024-11-04,WH-GWL,Gwalior,ST-009,Vidisha,786.7,301.7,Mini Truck,19071.48,19667.59,25.0,27.8,29.2,0
SHP104037,2025-01-05,WH-BPL,Bhopal,ST-001,Gwalior,387.6,426.5,Medium Truck,25213.77,27230.05,70.25,16.3,18.1,0
SHP104299,2024-10-14,WH-IND,Indore,ST-015,Jabalpur,578.4,237.0,Mini Truck,13488.47,14452.28,24.99,23.9,23.7,1
SHP107771,2024-10-25,WH-JBP,Jabalpur,ST-003,Jabalpur,786.6,142.4,Mini Truck,21458.65,22503.74,28.61,29.3,25.9,1
SHP102652,2024-07-03,WH-IND,Indore,ST-001,Gwalior,297.6,308.6,Medium Truck,20502.47,21265.67,71.46,13.4,15.9,0
SHP101228,2024-07-26,WH-JBP,Jabalpur,ST-020,Ratlam,545.8,291.2,Medium Truck,30459.62,31927.68,58.5,20.3,19.1,1
SHP102472,2024-06-29,WH-JBP,Jabalpur,ST-034,Satna,554.4,760.9,Medium Truck,36693.52,38108.8,68.74,20.8,25.0,0
SHP103868,2024-09-14,WH-BPL,Bhopal,ST-039,Indore,111.7,95.7,Medium Truck,6358.6,6858.38,61.4,6.8,9.1,0
SHP105764,2024-09-25,WH-JBP,Jabalpur,ST-002,Ratlam,750.1,228.0,Medium Truck,48463.56,50528.58,67.36,26.7,26.7,1
SHP105088,2024-08-30,WH-JBP,Jabalpur,ST-033,Indore,746.9,82.7,Mini Truck,20245.55,20330.51,27.22,26.9,22.1,1
SHP107282,2024-05-22,WH-IND,Indore,ST-028,Ujjain,197.2,541.1,LCV,7887.49,8643.11,43.83,9.2,7.5,1
SHP103796,2024-04-21,WH-BPL,Bhopal,ST-002,Ratlam,478.1,341.5,Medium Truck,26226.94,27607.86,57.74,20.6,19.0,1
SHP107809,2024-06-28,WH-BPL,Bhopal,ST-040,Gwalior,463.3,382.6,Mini Truck,13599.05,13820.73,29.83,16.8,26.9,0
SHP104567,2025-01-25,WH-GWL,Gwalior,ST-011,Bhopal,201.6,1376.6,LCV,6677.22,7289.46,36.16,9.2,12.4,0
SHP107756,2024-12-18,WH-JBP,Jabalpur,ST-014,Bhopal,209.1,1011.3,LCV,7864.4,8705.52,41.63,11.3,13.7,0
SHP101305,2025-01-03,WH-JBP,Jabalpur,ST-013,Khandwa,201.6,348.4,LCV,7328.15,7973.62,39.55,9.2,7.9,1
SHP106909,2024-11-10,WH-IND,Indore,ST-039,Indore,268.9,200.0,Medium Truck,17851.23,18488.91,68.76,12.1,17.5,0
SHP101882,2024-05-05,WH-BPL,Bhopal,ST-027,Chhindwara,384.4,476.3,Medium Truck,23316.03,24329.92,63.29,16.4,16.6,1
SHP106273,2024-11-05,WH-GWL,Gwalior,ST-028,Ujjain,585.1,329.4,Medium Truck,35285.17,37682.42,64.4,21.8,29.5,0
